2 0.500000 1.000000 1.424050 16.970563 70.710678 2.000000 8589934592.000000 -320.000000 412.000000 16.000000 2.000000 9.000000
3 0.333333 1.584963 1.751184 20.784610 86.602540 4.754888 12884901888.000000 -315.000000 918.000000 54.000000 5.704522 27.000000
4 0.250000 2.000000 2.027919 24.000000 100.000000 8.000000 17179869184.000000 -308.000000 1624.000000 128.000000 16.000000 81.000000
5 0.200000 2.321928 2.272347 26.832816 111.803399 11.609640 21474836480.000000 -299.000000 2530.000000 250.000000 41.971848 243.000000
6 0.166667 2.584963 2.493774 29.393877 122.474487 15.509775 25769803776.000000 -288.000000 3636.000000 432.000000 102.681405 729.000000
7 0.142857 2.807355 2.697739 31.749016 132.287566 19.651484 30064771072.000000 -275.000000 4942.000000 686.000000 235.770868 2187.000000
8 0.125000 3.000000 2.887858 33.941125 141.421356 24.000000 34359738368.000000 -260.000000 6448.000000 1024.000000 512.000000 6561.000000
9 0.111111 3.169925 3.066646 36.000000 150.000000 28.529325 38654705664.000000 -243.000000 8154.000000 1458.000000 1058.954227 19683.000000
10 0.100000 3.321928 3.235937 37.947332 158.113883 33.219281 42949672960.000000 -224.000000 10060.000000 2000.000000 2098.592396 59049.000000
11 0.090909 3.459432 3.397115 39.799497 165.831240 38.053748 47244640256.000000 -203.000000 12166.000000 2662.000000 4005.223747 177147.000000
12 0.083333 3.584963 3.551260 41.569219 173.205081 43.019550 51539607552.000000 -180.000000 14472.000000 3456.000000 7393.061153 531441.000000
13 0.076923 3.700440 3.699228 43.266615 180.277564 48.105716 55834574848.000000 -155.000000 16978.000000 4394.000000 13245.861955 1594323.000000
14 0.071429 3.807355 3.841716 44.899889 187.082869 53.302969 60129542144.000000 -128.000000 19684.000000 5488.000000 23105.545058 4782969.000000
15 0.066667 3.906891 3.979299 46.475800 193.649167 58.603359 64424509440.000000 -99.000000 22590.000000 6750.000000 39342.312126 14348907.000000
16 0.062500 4.000000 4.112455 48.000000 200.000000 64.000000 68719476736.000000 -68.000000 25696.000000 8192.000000 65536.000000 43046721.000000
17 0.058824 4.087463 4.241593 49.477268 206.155281 69.486868 73014444032.000000 -35.000000 29002.000000 9826.000000 107007.506497 129140163.000000
18 0.055556 4.169925 4.367058 50.911688 212.132034 75.058650 77309411328.000000 0.000000 32508.000000 11664.000000 171550.584717 387420489.000000
19 0.052632 4.247928 4.489152 52.306787 217.944947 80.710623 81604378624.000000 37.000000 36214.000000 13718.000000 270428.590391 1162261467.000000
20 0.050000 4.321928 4.608136 53.665631 223.606798 86.438562 85899345920.000000 76.000000 40120.000000 16000.000000 419718.479173 3486784401.000000
21 0.047619 4.392317 4.724239 54.990908 229.128785 92.238666 90194313216.000000 117.000000 44226.000000 18522.000000 642106.172840 10460353203.000000
22 0.045455 4.459432 4.837663 56.284989 234.520788 98.107496 94489280512.000000 160.000000 48532.000000 21296.000000 969264.146814 31381059609.000000
23 0.043478 4.523562 4.948587 57.549978 239.791576 104.041925 98784247808.000000 205.000000 53038.000000 24334.000000 1444974.668050 94143178827.000000
24 0.041667 4.584963 5.057172 58.787754 244.948974 110.039100 103079215104.000000 252.000000 57744.000000 27648.000000 2129201.612098 282429536481.000000
25 0.040000 4.643856 5.163562 60.000000 250.000000 116.096405 107374182400.000000 301.000000 62650.000000 31250.000000 3103361.458491 847288609443.000000
26 0.038462 4.700440 5.267886 61.188234 254.950976 122.211433 111669149696.000000 352.000000 67756.000000 35152.000000 4477101.340867 2541865828329.000000
27 0.037037 4.754888 5.370263 62.353829 259.807621 128.381963 115964116992.000000 405.000000 73062.000000 39366.000000 6396960.561985 7625597484987.000000
28 0.035714 4.807355 5.470797 63.498031 264.575131 134.605938 120259084288.000000 460.000000 78568.000000 43904.000000 9057373.662722 22876792454961.000000
29 0.034483 4.857981 5.569587 64.621978 269.258240 140.881449 124554051584.000000 517.000000 84274.000000 48778.000000 12714570.115765 68630377364883.000000
30 0.033333 4.906891 5.666721 65.726707 273.861279 147.206718 128849018880.000000 576.000000 90180.000000 54000.000000 17704040.456755 205891132094649.000000
