N,UnsortedArray,SortedArray,SinglyUnsorted,SinglySorted,DoublyUnsorted,DoublySorted
1000,0.2420,0.0012,1.3280,0.0012,1.2760,0.0012
2000,0.4760,0.0012,2.9360,0.0012,2.8680,0.0012
4000,0.9520,0.0012,6.0100,0.0017,6.9320,0.0012
6000,1.6020,0.0011,9.8600,0.0011,8.4680,0.0012
8000,2.2160,0.0012,12.3420,0.0012,11.5240,0.0012
10000,2.3680,0.0012,14.7080,0.0014,14.5860,0.0012
15000,3.4640,0.0012,24.5600,0.0012,25.4200,0.0012
20000,4.9140,0.0012,39.9220,0.0012,35.1880,0.0012
