N,UnsortedArray,SortedArray,SinglyUnsorted,SinglySorted,DoublyUnsorted,DoublySorted
1000,0.9920,0.0012,1.4000,0.0012,1.4600,0.0012
2000,0.9280,0.0012,3.0120,0.0012,2.8540,0.0012
4000,1.8760,0.0012,6.0760,0.0017,6.6140,0.0012
6000,2.8340,0.0012,8.6720,0.0012,8.5440,0.0012
8000,3.7420,0.0012,12.2540,0.0012,11.6980,0.0012
10000,4.6820,0.0012,15.1220,0.0014,14.8020,0.0014
15000,6.9040,0.0012,24.9620,0.0012,25.6680,0.0012
20000,9.7100,0.0012,41.3380,0.0012,35.1440,0.0012
