N,UnsortedArray,SortedArray,SinglyUnsorted,SinglySorted,DoublyUnsorted,DoublySorted
1000,0.5280,0.0064,1.2020,0.0020,1.1360,0.0020
2000,0.4760,0.0072,2.8200,0.0020,2.6960,0.0020
4000,0.9520,0.0079,5.5200,0.0040,6.4340,0.0040
6000,1.6040,0.0085,8.1040,0.0020,7.7640,0.0060
8000,2.1620,0.0087,11.3440,0.0060,10.6840,0.0040
10000,2.6040,0.0095,14.1520,0.0020,13.4620,0.0040
15000,4.1540,0.0113,24.6640,0.0020,22.6360,0.0020
20000,5.0680,0.0107,37.7960,0.0020,35.2560,0.0080
