N,UnsortedArray,SortedArray,SinglyUnsorted,SinglySorted,DoublyUnsorted,DoublySorted
1000,0.0056,0.3520,1.3480,1.1940,0.0299,1.3295
2000,0.0026,0.7040,3.0940,2.8080,0.0297,2.7758
4000,0.0026,1.4040,6.0700,6.8480,0.0517,5.5507
6000,0.0028,2.0620,8.8300,8.0660,0.0291,8.4957
8000,0.0028,2.8120,12.4140,11.2780,0.0370,10.9199
10000,0.0027,3.5620,15.4760,14.6300,0.0306,14.7768
15000,0.0027,5.5060,26.2300,22.7480,0.0291,23.8065
20000,0.0027,7.4000,40.2180,35.7880,0.0308,31.8228
