N,UnsortedArray,SortedArray,SinglyUnsorted,SinglySorted,DoublyUnsorted,DoublySorted
1000,0.4880,0.0012,1.3760,0.4840,1.3620,0.0012
2000,0.9580,0.0012,3.0280,1.1800,2.9740,0.0012
4000,1.9060,0.0012,6.1860,3.3300,6.6800,0.0012
6000,3.2640,0.0011,8.9480,4.1200,8.7460,0.0012
8000,4.4000,0.0012,12.5500,5.5280,11.9960,0.0012
10000,5.2680,0.0012,15.0740,6.9440,15.2780,0.0011
15000,7.2600,0.0012,26.8880,10.4840,25.7780,0.0012
20000,9.6780,0.0012,40.8540,14.7700,35.8100,0.0012
