N,UnsortedArray,SortedArray,SinglyUnsorted,SinglySorted,DoublyUnsorted,DoublySorted
1000,0.6080,0.0012,1.6820,0.0012,1.4280,0.0012
2000,1.0220,0.0012,3.0140,0.0012,2.9220,0.0012
4000,1.8760,0.0012,6.0740,0.0017,6.0380,0.0012
6000,2.7720,0.0012,8.7260,0.0012,8.6340,0.0012
8000,3.7440,0.0012,12.2700,0.0012,11.7320,0.0012
10000,4.6820,0.0012,14.7580,0.0014,15.1260,0.0014
15000,6.9140,0.0012,25.0600,0.0012,26.2160,0.0012
20000,9.6980,0.0012,41.1660,0.0012,35.7280,0.0012
